"city","area","rooms","bathroom","parking.spaces","floor","animal","furniture","rent.amount","fire.insurance"
"yes",240,3,3,4,0,"acept","furnished",8000,121
"no",64,2,1,1,10,"acept","not furnished",820,11
"yes",443,5,5,4,3,"acept","furnished",7000,89
"yes",73,2,2,1,12,"acept","not furnished",1250,16
"yes",19,1,1,0,0,"not acept","not furnished",1200,16
"yes",13,1,1,0,2,"acept","not furnished",2200,28
"yes",55,1,1,1,2,"acept","furnished",5000,64
"yes",55,2,2,1,2,"acept","not furnished",1300,17
"yes",82,3,1,1,3,"acept","furnished",2000,26
"yes",32,1,1,1,16,"acept","not furnished",2900,37
"no",60,1,1,0,6,"acept","not furnished",720,10
"no",64,1,2,1,4,"acept","furnished",1550,7
"yes",20,1,1,0,4,"acept","furnished",1800,23
"yes",375,4,5,5,1,"acept","not furnished",15000,191
"yes",92,2,1,1,7,"not acept","furnished",3950,51
"no",56,2,1,1,1,"acept","not furnished",950,13
"no",188,2,3,8,0,"acept","not furnished",3010,46
"yes",100,3,2,1,0,"acept","not furnished",3500,53
"yes",192,3,3,2,13,"acept","not furnished",7800,99
"yes",93,3,2,1,10,"acept","not furnished",3500,45
"yes",155,3,3,2,0,"acept","not furnished",2650,40
"yes",80,2,2,0,9,"not acept","not furnished",2550,33
"yes",65,2,2,2,14,"not acept","not furnished",3500,45
"yes",320,3,3,4,0,"acept","not furnished",9000,136
"yes",180,3,5,3,3,"acept","not furnished",8100,103
"yes",31,1,1,1,4,"acept","not furnished",3200,41
"yes",105,4,2,2,3,"acept","not furnished",6500,83
"yes",300,3,4,2,9,"acept","furnished",14000,178
"no",150,3,2,2,13,"acept","not furnished",1800,23
"yes",130,3,3,2,0,"acept","not furnished",6000,91
"yes",70,2,1,0,1,"acept","not furnished",3000,39
"yes",120,3,1,4,0,"acept","not furnished",3500,53
"yes",250,3,4,2,0,"acept","not furnished",3480,53
"yes",50,1,1,0,1,"acept","not furnished",1550,20
"yes",240,3,3,3,3,"acept","not furnished",3800,49
"yes",250,4,4,2,0,"not acept","not furnished",6600,100
"no",94,3,3,2,1,"acept","not furnished",2200,28
"yes",176,3,4,3,4,"acept","not furnished",6500,83
"yes",180,3,4,5,0,"acept","not furnished",3300,50
"yes",191,3,3,4,1,"acept","furnished",15000,191
"yes",25,1,1,0,14,"acept","not furnished",1698,22
"yes",800,4,5,4,9,"acept","not furnished",15000,191
"yes",340,3,4,3,0,"acept","furnished",9800,148
"yes",90,2,1,0,0,"not acept","not furnished",1450,22
"no",650,5,4,8,0,"acept","furnished",8500,128
"yes",100,2,2,0,1,"acept","not furnished",2700,35
"yes",230,4,4,4,1,"acept","furnished",13500,172
"yes",190,2,3,2,0,"acept","not furnished",13050,197
"yes",205,4,4,6,5,"acept","not furnished",2720,35
"yes",96,3,3,2,8,"acept","not furnished",1790,23
"yes",396,4,4,4,0,"acept","not furnished",10000,151
"no",74,3,2,1,7,"acept","not furnished",1600,21
"no",30,1,1,0,5,"not acept","furnished",500,7
"yes",64,3,2,1,7,"acept","not furnished",1400,18
"yes",105,3,2,2,1,"acept","furnished",7800,99
"yes",50,1,2,1,10,"acept","furnished",5900,75
"yes",60,2,1,0,3,"not acept","not furnished",1300,17
"yes",50,2,1,1,6,"acept","furnished",2000,26
"yes",90,2,2,0,0,"acept","not furnished",1700,26
"yes",130,3,2,1,8,"not acept","furnished",7500,96
"yes",20,1,1,0,1,"not acept","furnished",1950,25
"yes",400,4,3,2,0,"acept","not furnished",5650,85
"yes",220,3,3,5,0,"acept","not furnished",7500,113
"yes",750,7,6,5,0,"acept","furnished",5800,88
"yes",20,1,1,0,0,"acept","furnished",1800,23
"no",140,3,2,2,15,"not acept","not furnished",2100,27
"yes",22,1,1,0,0,"not acept","not furnished",1080,14
"yes",345,2,3,2,4,"not acept","not furnished",12000,153
"no",46,2,1,1,3,"not acept","not furnished",1100,5
"yes",35,1,1,1,2,"not acept","furnished",3250,42
"no",72,2,2,1,2,"acept","not furnished",1200,16
"yes",60,1,1,2,2,"not acept","not furnished",1900,25
"yes",180,3,2,4,0,"not acept","furnished",11000,166
"yes",83,3,2,1,9,"not acept","furnished",3300,42
"yes",50,1,1,0,1,"acept","not furnished",1550,20
"yes",38,1,1,1,14,"not acept","furnished",3020,39
"yes",140,3,3,2,2,"acept","not furnished",2800,36
"no",62,2,1,1,3,"acept","not furnished",980,13
"yes",70,1,1,0,2,"acept","furnished",4000,51
"no",55,1,1,0,14,"acept","not furnished",1100,14
"no",60,2,1,1,1,"not acept","not furnished",815,6
"yes",85,2,2,1,6,"acept","not furnished",1738,23
"yes",134,3,3,3,11,"not acept","not furnished",8000,102
"yes",200,3,2,2,19,"acept","not furnished",10000,127
"yes",170,3,2,2,0,"acept","furnished",3900,59
"yes",46,1,1,2,16,"acept","furnished",6220,79
"yes",20,1,1,0,4,"acept","furnished",1800,23
"yes",58,2,2,1,5,"not acept","furnished",4500,58
"yes",96,3,2,3,4,"acept","not furnished",2350,30
"yes",190,3,3,3,6,"acept","not furnished",13000,165
"yes",87,3,2,4,14,"acept","not furnished",2000,26
"yes",42,1,1,0,5,"acept","not furnished",2400,31
"yes",145,3,3,1,10,"acept","furnished",11000,140
"yes",250,4,6,4,12,"not acept","not furnished",14500,184
"yes",90,2,1,1,1,"acept","not furnished",3000,39
"yes",250,6,2,2,0,"acept","not furnished",2472,38
"yes",500,3,4,5,0,"acept","furnished",7620,115
"yes",80,2,2,2,6,"acept","furnished",8800,112
"no",120,3,2,3,0,"acept","not furnished",2500,38
"no",265,3,3,2,0,"acept","not furnished",2400,37
"no",50,2,1,1,4,"acept","not furnished",1080,14
"no",126,3,3,2,1,"acept","not furnished",3800,49
"no",55,2,1,1,1,"acept","not furnished",720,10
"yes",29,1,1,1,20,"acept","furnished",2700,35
"yes",59,2,1,1,24,"acept","not furnished",2450,32
"yes",200,2,4,4,4,"acept","not furnished",7800,99
"yes",74,3,2,1,7,"acept","not furnished",2196,28
"yes",290,4,5,2,6,"acept","not furnished",10000,127
"yes",172,3,4,3,1,"acept","not furnished",8000,102
"yes",25,1,1,0,5,"not acept","furnished",2600,33
"yes",50,1,1,1,0,"acept","not furnished",1100,17
"yes",40,1,1,0,3,"acept","not furnished",1100,14
"yes",80,2,2,2,0,"acept","not furnished",2465,38
"yes",280,6,6,3,0,"acept","not furnished",5000,76
"yes",60,1,1,1,12,"acept","furnished",4723,18
"yes",115,2,3,2,8,"acept","not furnished",12000,153
"yes",540,3,3,4,9,"acept","not furnished",15000,191
"yes",76,2,1,1,12,"not acept","furnished",4250,54
"no",150,4,5,2,1,"acept","not furnished",2980,38
"yes",130,3,2,1,8,"acept","not furnished",5500,70
"no",64,2,1,1,0,"acept","not furnished",730,10
"yes",55,2,2,1,2,"acept","not furnished",1300,17
"yes",50,1,1,0,1,"acept","not furnished",1300,17
"yes",120,2,3,2,20,"acept","not furnished",7000,89
"no",236,3,4,4,10,"acept","not furnished",11000,140
"no",30,1,1,0,4,"acept","not furnished",550,7
"no",270,3,3,0,0,"acept","furnished",8000,121
"no",48,1,1,0,9,"acept","not furnished",670,9
"no",198,6,3,4,0,"acept","not furnished",2000,31
"yes",50,1,1,0,0,"acept","not furnished",1080,17
"yes",185,3,3,3,20,"acept","not furnished",5600,71
"yes",440,4,4,4,0,"acept","not furnished",12000,181
"no",119,3,2,2,7,"acept","not furnished",1200,16
"yes",57,2,2,2,16,"acept","not furnished",1690,22
"yes",65,2,1,1,1,"acept","not furnished",1400,18
"yes",35,2,1,1,0,"acept","not furnished",2100,32
"no",51,1,2,1,16,"not acept","not furnished",2100,27
"no",70,2,3,1,7,"acept","not furnished",2004,26
"yes",90,2,1,1,0,"acept","not furnished",1500,23
"yes",320,3,4,3,8,"acept","not furnished",6800,87
"yes",250,7,5,2,0,"acept","not furnished",12750,192
"yes",70,2,1,1,6,"acept","not furnished",3800,49
"yes",169,4,6,3,7,"acept","furnished",10000,127
"yes",33,1,1,0,1,"not acept","not furnished",1100,14
"yes",225,4,4,3,7,"acept","not furnished",5000,64
"yes",42,1,1,0,2,"acept","furnished",3256,42
"yes",120,3,4,1,0,"not acept","not furnished",4000,61
"yes",70,3,2,2,3,"not acept","not furnished",1500,20
"yes",90,1,1,2,0,"acept","furnished",3200,49
"yes",260,4,5,4,9,"acept","furnished",3300,42
"yes",243,3,3,4,10,"acept","not furnished",5500,70
"yes",100,1,1,0,0,"acept","not furnished",1530,12
"yes",240,3,4,3,9,"acept","not furnished",5100,65
"no",45,1,1,1,4,"acept","not furnished",870,12
"yes",65,1,1,1,2,"acept","furnished",5000,64
"yes",47,1,1,0,4,"not acept","not furnished",1000,13
"yes",60,2,1,0,2,"acept","furnished",3300,42
"yes",340,4,6,6,0,"acept","furnished",15000,226
"yes",500,4,4,0,0,"acept","not furnished",6000,91
"yes",55,2,1,1,14,"acept","not furnished",1399,18
"yes",240,3,4,3,3,"acept","furnished",4950,63
"yes",65,2,2,1,1,"acept","not furnished",2315,7
"yes",68,1,1,0,0,"not acept","not furnished",1213,6
"yes",500,4,4,3,0,"acept","not furnished",10800,163
"yes",198,2,2,2,13,"acept","not furnished",5500,70
"yes",62,2,1,1,13,"acept","not furnished",2200,28
"yes",60,2,2,1,4,"acept","not furnished",2806,36
"yes",187,3,2,3,0,"not acept","furnished",8400,127
"yes",25,1,1,0,23,"acept","not furnished",2200,28
"yes",230,3,4,3,0,"acept","not furnished",3600,55
"yes",17,1,1,0,1,"not acept","furnished",2400,31
