"rent.amount";"fire.insurance";"city";"area";"rooms";"bathroom";"parking.spaces";"floor";"animal";"furniture"
8.98719682066197;4.79579054559674;1;5.48063892334199;3;3;4;0;"acept";"furnished"
6.7093043402583;2.39789527279837;0;4.15888308335967;2;1;1;10;"acept";"not furnished"
8.85366542803745;4.48863636973214;1;6.09356977004514;5;5;4;3;"acept";"furnished"
7.13089883029635;2.77258872223978;1;4.29045944114839;2;2;1;12;"acept";"not furnished"
7.09007683577609;2.77258872223978;1;2.94443897916644;1;1;0;0;"not acept";"not furnished"
7.69621263934641;3.3322045101752;1;2.56494935746154;1;1;0;2;"acept";"not furnished"
8.51719319141624;4.15888308335967;1;4.00733318523247;1;1;1;2;"acept";"furnished"
7.17011954344963;2.83321334405622;1;4.00733318523247;2;2;1;2;"acept";"not furnished"
7.60090245954208;3.25809653802148;1;4.40671924726425;3;1;1;3;"acept";"furnished"
7.97246601597457;3.61091791264422;1;3.46573590279973;1;1;1;16;"acept";"not furnished"
6.5792512120101;2.30258509299405;0;4.0943445622221;1;1;0;6;"acept";"not furnished"
7.34601020991329;1.94591014905531;0;4.15888308335967;1;2;1;4;"acept";"furnished"
7.49554194388426;3.13549421592915;1;2.99573227355399;1;1;0;4;"acept";"furnished"
9.61580548008435;5.25227342804663;1;5.92692602597041;4;5;5;1;"acept";"not furnished"
8.28147085789517;3.93182563272433;1;4.52178857704904;2;1;1;7;"not acept";"furnished"
6.85646198459459;2.56494935746154;0;4.02535169073515;2;1;1;1;"acept";"not furnished"
8.00969535774292;3.8286413964891;0;5.23644196282995;2;3;8;0;"acept";"not furnished"
8.1605182474775;3.97029191355212;1;4.60517018598809;3;2;1;0;"acept";"not furnished"
8.96187901267768;4.59511985013459;1;5.25749537202778;3;3;2;13;"acept";"not furnished"
8.1605182474775;3.80666248977032;1;4.53259949315326;3;2;1;10;"acept";"not furnished"
7.88231491898027;3.68887945411394;1;5.04342511691925;3;3;2;0;"acept";"not furnished"
7.84384863815247;3.49650756146648;1;4.38202663467388;2;2;0;9;"not acept";"not furnished"
8.1605182474775;3.80666248977032;1;4.17438726989564;2;2;2;14;"not acept";"not furnished"
9.10497985631836;4.91265488573605;1;5.76832099579377;3;3;4;0;"acept";"not furnished"
8.99961934066053;4.63472898822964;1;5.19295685089021;3;5;3;3;"acept";"not furnished"
8.07090608878782;3.71357206670431;1;3.43398720448515;1;1;1;4;"acept";"not furnished"
8.77955745588373;4.4188406077966;1;4.65396035015752;4;2;2;3;"acept";"not furnished"
9.5468126085974;5.18178355029209;1;5.7037824746562;3;4;2;9;"acept";"furnished"
7.49554194388426;3.13549421592915;0;5.01063529409626;3;2;2;13;"acept";"not furnished"
8.69951474821019;4.51085950651685;1;4.86753445045558;3;3;2;0;"acept";"not furnished"
8.00636756765025;3.66356164612965;1;4.24849524204936;2;1;0;1;"acept";"not furnished"
8.1605182474775;3.97029191355212;1;4.78749174278205;3;1;4;0;"acept";"not furnished"
8.15478757276852;3.97029191355212;1;5.52146091786225;3;4;2;0;"acept";"not furnished"
7.34601020991329;2.99573227355399;1;3.91202300542815;1;1;0;1;"acept";"not furnished"
8.24275634571448;3.89182029811063;1;5.48063892334199;3;3;3;3;"acept";"not furnished"
8.79482492801452;4.60517018598809;1;5.52146091786225;4;4;2;0;"not acept";"not furnished"
7.69621263934641;3.3322045101752;0;4.54329478227;3;3;2;1;"acept";"not furnished"
8.77955745588373;4.4188406077966;1;5.17048399503815;3;4;3;4;"acept";"not furnished"
8.10167774745457;3.91202300542815;1;5.19295685089021;3;4;5;0;"acept";"not furnished"
9.61580548008435;5.25227342804663;1;5.25227342804663;3;3;4;1;"acept";"furnished"
7.43720636687129;3.09104245335832;1;3.2188758248682;1;1;0;14;"acept";"not furnished"
9.61580548008435;5.25227342804663;1;6.68461172766793;4;5;4;9;"acept";"not furnished"
9.19013766465866;4.99721227376411;1;5.82894561761021;3;4;3;0;"acept";"furnished"
7.27931883541462;3.09104245335832;1;4.49980967033027;2;1;0;0;"not acept";"not furnished"
9.04782144247841;4.85203026391962;0;6.47697236288968;5;4;8;0;"acept";"furnished"
7.90100705199242;3.55534806148941;1;4.60517018598809;2;2;0;1;"acept";"not furnished"
9.51044496442652;5.14749447681345;1;5.4380793089232;4;4;4;1;"acept";"furnished"
9.47654341275084;5.28320372873799;1;5.24702407216049;2;3;2;0;"acept";"not furnished"
7.90838715929004;3.55534806148941;1;5.32300997913841;4;4;6;5;"acept";"not furnished"
7.4899708988348;3.13549421592915;1;4.56434819146784;3;3;2;8;"acept";"not furnished"
9.21034037197618;5.01727983681492;1;5.98141421125448;4;4;4;0;"acept";"not furnished"
7.37775890822787;3.04452243772342;0;4.30406509320417;3;2;1;7;"acept";"not furnished"
6.21460809842219;1.94591014905531;0;3.40119738166216;1;1;0;5;"not acept";"furnished"
7.24422751560335;2.89037175789616;1;4.15888308335967;3;2;1;7;"acept";"not furnished"
8.96187901267768;4.59511985013459;1;4.65396035015752;3;2;2;1;"acept";"furnished"
8.68270762989381;4.31748811353631;1;3.91202300542815;1;2;1;10;"acept";"furnished"
7.17011954344963;2.83321334405622;1;4.0943445622221;2;1;0;3;"not acept";"not furnished"
7.60090245954208;3.25809653802148;1;3.91202300542815;2;1;1;6;"acept";"furnished"
7.43838353004431;3.25809653802148;1;4.49980967033027;2;2;0;0;"acept";"not furnished"
8.9226582995244;4.56434819146784;1;4.86753445045558;3;2;1;8;"not acept";"furnished"
