"city","animal","furniture","area","fire.insurance","rent.amount","rooms","bathrooms","floor","parking.spaces"
"yes","acept","furnished",5.48063892334199,4.79579054559674,8.98719682066197,3,3,0,4
"no","acept","not furnished",4.15888308335967,2.39789527279837,6.7093043402583,2,1,10,1
"yes","acept","furnished",6.09356977004514,4.48863636973214,8.85366542803745,5,5,3,4
"yes","acept","not furnished",4.29045944114839,2.77258872223978,7.13089883029635,2,2,12,1
"yes","not acept","not furnished",2.94443897916644,2.77258872223978,7.09007683577609,1,1,0,0
"yes","acept","not furnished",2.56494935746154,3.3322045101752,7.69621263934641,1,1,2,0
"yes","acept","furnished",4.00733318523247,4.15888308335967,8.51719319141624,1,1,2,1
"yes","acept","not furnished",4.00733318523247,2.83321334405622,7.17011954344963,2,2,2,1
"yes","acept","furnished",4.40671924726425,3.25809653802148,7.60090245954208,3,1,3,1
"yes","acept","not furnished",3.46573590279973,3.61091791264422,7.97246601597457,1,1,16,1
"no","acept","not furnished",4.0943445622221,2.30258509299405,6.5792512120101,1,1,6,0
"no","acept","furnished",4.15888308335967,1.94591014905531,7.34601020991329,1,2,4,1
"yes","acept","furnished",2.99573227355399,3.13549421592915,7.49554194388426,1,1,4,0
"yes","acept","not furnished",5.92692602597041,5.25227342804663,9.61580548008435,4,5,1,5
"yes","not acept","furnished",4.52178857704904,3.93182563272433,8.28147085789517,2,1,7,1
"no","acept","not furnished",4.02535169073515,2.56494935746154,6.85646198459459,2,1,1,1
"no","acept","not furnished",5.23644196282995,3.8286413964891,8.00969535774292,2,3,0,8
"yes","acept","not furnished",4.60517018598809,3.97029191355212,8.1605182474775,3,2,0,1
"yes","acept","not furnished",5.25749537202778,4.59511985013459,8.96187901267768,3,3,13,2
"yes","acept","not furnished",4.53259949315326,3.80666248977032,8.1605182474775,3,2,10,1
"yes","acept","not furnished",5.04342511691925,3.68887945411394,7.88231491898027,3,3,0,2
"yes","not acept","not furnished",4.38202663467388,3.49650756146648,7.84384863815247,2,2,9,0
"yes","not acept","not furnished",4.17438726989564,3.80666248977032,8.1605182474775,2,2,14,2
"yes","acept","not furnished",5.76832099579377,4.91265488573605,9.10497985631836,3,3,0,4
"yes","acept","not furnished",5.19295685089021,4.63472898822964,8.99961934066053,3,5,3,3
"yes","acept","not furnished",3.43398720448515,3.71357206670431,8.07090608878782,1,1,4,1
"yes","acept","not furnished",4.65396035015752,4.4188406077966,8.77955745588373,4,2,3,2
"yes","acept","furnished",5.7037824746562,5.18178355029209,9.5468126085974,3,4,9,2
"no","acept","not furnished",5.01063529409626,3.13549421592915,7.49554194388426,3,2,13,2
"yes","acept","not furnished",4.86753445045558,4.51085950651685,8.69951474821019,3,3,0,2
"yes","acept","not furnished",4.24849524204936,3.66356164612965,8.00636756765025,2,1,1,0
"yes","acept","not furnished",4.78749174278205,3.97029191355212,8.1605182474775,3,1,0,4
"yes","acept","not furnished",5.52146091786225,3.97029191355212,8.15478757276852,3,4,0,2
"yes","acept","not furnished",3.91202300542815,2.99573227355399,7.34601020991329,1,1,1,0
"yes","acept","not furnished",5.48063892334199,3.89182029811063,8.24275634571448,3,3,3,3
"yes","not acept","not furnished",5.52146091786225,4.60517018598809,8.79482492801452,4,4,0,2
"no","acept","not furnished",4.54329478227,3.3322045101752,7.69621263934641,3,3,1,2
"yes","acept","not furnished",5.17048399503815,4.4188406077966,8.77955745588373,3,4,4,3
"yes","acept","not furnished",5.19295685089021,3.91202300542815,8.10167774745457,3,4,0,5
"yes","acept","furnished",5.25227342804663,5.25227342804663,9.61580548008435,3,3,1,4
"yes","acept","not furnished",3.2188758248682,3.09104245335832,7.43720636687129,1,1,14,0
"yes","acept","not furnished",6.68461172766793,5.25227342804663,9.61580548008435,4,5,9,4
"yes","acept","furnished",5.82894561761021,4.99721227376411,9.19013766465866,3,4,0,3
"yes","not acept","not furnished",4.49980967033027,3.09104245335832,7.27931883541462,2,1,0,0
"no","acept","furnished",6.47697236288968,4.85203026391962,9.04782144247841,5,4,0,8
"yes","acept","not furnished",4.60517018598809,3.55534806148941,7.90100705199242,2,2,1,0
"yes","acept","furnished",5.4380793089232,5.14749447681345,9.51044496442652,4,4,1,4
"yes","acept","not furnished",5.24702407216049,5.28320372873799,9.47654341275084,2,3,0,2
"yes","acept","not furnished",5.32300997913841,3.55534806148941,7.90838715929004,4,4,5,6
"yes","acept","not furnished",4.56434819146784,3.13549421592915,7.4899708988348,3,3,8,2
"yes","acept","not furnished",5.98141421125448,5.01727983681492,9.21034037197618,4,4,0,4
"no","acept","not furnished",4.30406509320417,3.04452243772342,7.37775890822787,3,2,7,1
"no","not acept","furnished",3.40119738166216,1.94591014905531,6.21460809842219,1,1,5,0
"yes","acept","not furnished",4.15888308335967,2.89037175789616,7.24422751560335,3,2,7,1
"yes","acept","furnished",4.65396035015752,4.59511985013459,8.96187901267768,3,2,1,2
"yes","acept","furnished",3.91202300542815,4.31748811353631,8.68270762989381,1,2,10,1
"yes","not acept","not furnished",4.0943445622221,2.83321334405622,7.17011954344963,2,1,3,0
"yes","acept","furnished",3.91202300542815,3.25809653802148,7.60090245954208,2,1,6,1
"yes","acept","not furnished",4.49980967033027,3.25809653802148,7.43838353004431,2,2,0,0
"yes","not acept","furnished",4.86753445045558,4.56434819146784,8.9226582995244,3,2,8,1
"yes","not acept","furnished",2.99573227355399,3.2188758248682,7.57558465155779,1,1,1,0
"yes","acept","not furnished",5.99146454710798,4.44265125649032,8.63941082414049,4,3,0,2
"yes","acept","not furnished",5.39362754635236,4.72738781871234,8.9226582995244,3,3,0,5
"yes","acept","furnished",6.62007320653036,4.47733681447821,8.66561319653451,7,6,0,5
"yes","acept","furnished",2.99573227355399,3.13549421592915,7.49554194388426,1,1,0,0
"no","not acept","not furnished",4.9416424226093,3.29583686600433,7.64969262371151,3,2,15,2
"yes","not acept","not furnished",3.09104245335832,2.63905732961526,6.98471632011827,1,1,0,0
"yes","not acept","not furnished",5.84354441703136,5.03043792139244,9.39266192877014,2,3,4,2
"no","not acept","not furnished",3.8286413964891,1.6094379124341,7.00306545878646,2,1,3,1
"yes","not acept","furnished",3.55534806148941,3.73766961828337,8.08641027532378,1,1,2,1
"no","acept","not furnished",4.27666611901606,2.77258872223978,7.09007683577609,2,2,2,1
"yes","not acept","not furnished",4.0943445622221,3.2188758248682,7.54960916515453,1,1,2,2
"yes","not acept","furnished",5.19295685089021,5.11198778835654,9.30565055178051,3,2,0,4
"yes","not acept","furnished",4.4188406077966,3.73766961828337,8.10167774745457,3,2,9,1
"yes","acept","not furnished",3.91202300542815,2.99573227355399,7.34601020991329,1,1,1,0
"yes","not acept","furnished",3.63758615972639,3.66356164612965,8.01301211036892,1,1,14,1
"yes","acept","not furnished",4.9416424226093,3.58351893845611,7.9373746961633,3,3,2,2
"no","acept","not furnished",4.12713438504509,2.56494935746154,6.88755257166462,2,1,3,1
"yes","acept","furnished",4.24849524204936,3.93182563272433,8.29404964010203,1,1,2,0
"no","acept","not furnished",4.00733318523247,2.63905732961526,7.00306545878646,1,1,14,0
"no","not acept","not furnished",4.0943445622221,1.79175946922805,6.70318811324086,2,1,1,1
"yes","acept","not furnished",4.44265125649032,3.13549421592915,7.46049030582534,2,2,6,1
"yes","not acept","not furnished",4.89783979995091,4.62497281328427,8.98719682066197,3,3,11,3
"yes","acept","not furnished",5.29831736654804,4.84418708645859,9.21034037197618,3,2,19,2
"yes","acept","furnished",5.13579843705026,4.07753744390572,8.26873183211774,3,2,0,2
"yes","acept","furnished",3.8286413964891,4.36944785246702,8.73552518573323,1,1,16,2
"yes","acept","furnished",2.99573227355399,3.13549421592915,7.49554194388426,1,1,4,0
"yes","not acept","furnished",4.06044301054642,4.06044301054642,8.41183267575841,2,2,5,1
"yes","acept","not furnished",4.56434819146784,3.40119738166216,7.7621706071382,3,2,4,3
"yes","acept","not furnished",5.24702407216049,5.10594547390058,9.47270463644367,3,3,6,3
"yes","acept","not furnished",4.46590811865458,3.25809653802148,7.60090245954208,3,2,14,4
"yes","acept","not furnished",3.73766961828337,3.43398720448515,7.78322401633604,1,1,5,0
"yes","acept","furnished",4.97673374242057,4.9416424226093,9.30565055178051,3,3,10,1
"yes","not acept","not furnished",5.52146091786225,5.21493575760899,9.58190392840867,4,6,12,4
"yes","acept","not furnished",4.49980967033027,3.66356164612965,8.00636756765025,2,1,1,1
"yes","acept","not furnished",5.52146091786225,3.63758615972639,7.81278281857758,6,2,0,2
"yes","acept","furnished",6.21460809842219,4.74493212836325,8.93853164868069,3,4,0,5
"yes","acept","furnished",4.38202663467388,4.71849887129509,9.0825070004663,2,2,6,2
"no","acept","not furnished",4.78749174278205,3.63758615972639,7.82404601085629,3,2,0,3
"no","acept","not furnished",5.57972982598622,3.61091791264422,7.78322401633604,3,3,0,2
"no","acept","not furnished",3.91202300542815,2.63905732961526,6.98471632011827,2,1,4,1
"no","acept","not furnished",4.83628190695148,3.89182029811063,8.24275634571448,3,3,1,2
"no","acept","not furnished",4.00733318523247,2.30258509299405,6.5792512120101,2,1,1,1
