city,area,rooms,bathroom,parking spaces,floor,animal,furniture,rent amount,fire insurance,total
yes,240,3,3,4,-,acept,furnished,"R$8,000",R$121,"R$9,121"
no,64,2,1,1,10,acept,not furnished,R$820,R$11,"R$1,493"
yes,443,5,5,4,3,acept,furnished,"R$7,000",R$89,"R$12,680"
yes,73,2,2,1,12,acept,not furnished,"R$1,250",R$16,"R$2,116"
yes,19,1,1,0,-,not acept,not furnished,"R$1,200",R$16,"R$1,257"
yes,13,1,1,0,2,acept,not furnished,"R$2,200",R$28,"R$2,270"
yes,55,1,1,1,2,acept,furnished,"R$5,000",R$64,"R$7,389"
yes,55,2,2,1,2,acept,not furnished,"R$1,300",R$17,"R$1,984"
yes,82,3,1,1,3,acept,furnished,"R$2,000",R$26,"R$2,963"
yes,32,1,1,1,16,acept,not furnished,"R$2,900",R$37,"R$3,470"
no,60,1,1,0,6,acept,not furnished,R$720,R$10,"R$1,230"
no,64,1,2,1,4,acept,furnished,"R$1,550",R$7,"R$1,963"
yes,20,1,1,0,4,acept,furnished,"R$1,800",R$23,"R$2,555"
yes,375,4,5,5,1,acept,not furnished,"R$15,000",R$191,"R$22,790"
yes,92,2,1,1,7,not acept,furnished,"R$3,950",R$51,"R$4,691"
no,56,2,1,1,1,acept,not furnished,R$950,R$13,"R$1,319"
no,188,2,3,8,-,acept,not furnished,"R$3,010",R$46,"R$3,640"
yes,100,3,2,1,-,acept,not furnished,"R$3,500",R$53,"R$3,813"
yes,192,3,3,2,13,acept,not furnished,"R$7,800",R$99,"R$10,630"
yes,93,3,2,1,10,acept,not furnished,"R$3,500",R$45,"R$5,269"
yes,155,3,3,2,-,acept,not furnished,"R$2,650",R$40,"R$2,923"
yes,80,2,2,0,9,not acept,not furnished,"R$2,550",R$33,"R$3,229"
yes,65,2,2,2,14,not acept,not furnished,"R$3,500",R$45,"R$4,452"
yes,320,3,3,4,-,acept,not furnished,"R$9,000",R$136,"R$10,140"
yes,180,3,5,3,3,acept,not furnished,"R$8,100",R$103,"R$11,100"
yes,31,1,1,1,4,acept,not furnished,"R$3,200",R$41,"R$3,577"
yes,105,4,2,2,3,acept,not furnished,"R$6,500",R$83,"R$8,642"
yes,300,3,4,2,9,acept,furnished,"R$14,000",R$178,"R$17,260"
no,150,3,2,2,13,acept,not furnished,"R$1,800",R$23,"R$3,443"
yes,130,3,3,2,-,acept,not furnished,"R$6,000",R$91,"R$6,175"
yes,70,2,1,0,1,acept,not furnished,"R$3,000",R$39,"R$3,610"
yes,120,3,1,4,-,acept,not furnished,"R$3,500",R$53,"R$3,787"
yes,250,3,4,2,-,acept,not furnished,"R$3,480",R$53,"R$4,193"
yes,50,1,1,0,1,acept,not furnished,"R$1,550",R$20,"R$1,920"
yes,240,3,3,3,3,acept,not furnished,"R$3,800",R$49,"R$8,933"
yes,250,4,4,2,-,not acept,not furnished,"R$6,600",R$100,"R$6,700"
no,94,3,3,2,1,acept,not furnished,"R$2,200",R$28,"R$3,170"
yes,176,3,4,3,4,acept,not furnished,"R$6,500",R$83,"R$8,958"
yes,180,3,4,5,-,acept,not furnished,"R$3,300",R$50,"R$3,616"
yes,191,3,3,4,1,acept,furnished,"R$15,000",R$191,"R$19,100"
yes,25,1,1,0,14,acept,not furnished,"R$1,698",R$22,"R$1,977"
yes,800,4,5,4,9,acept,not furnished,"R$15,000",R$191,"R$24,530"
yes,340,3,4,3,-,acept,furnished,"R$9,800",R$148,"R$10,340"
yes,90,2,1,0,-,not acept,not furnished,"R$1,450",R$22,"R$1,522"
no,650,5,4,8,-,acept,furnished,"R$8,500",R$128,"R$9,070"
yes,100,2,2,0,1,acept,not furnished,"R$2,700",R$35,"R$3,000"
yes,230,4,4,4,1,acept,furnished,"R$13,500",R$172,"R$17,060"
yes,190,2,3,2,-,acept,not furnished,"R$13,050",R$197,"R$14,530"
yes,205,4,4,6,5,acept,not furnished,"R$2,720",R$35,"R$6,164"
yes,96,3,3,2,8,acept,not furnished,"R$1,790",R$23,"R$2,769"
yes,396,4,4,4,-,acept,not furnished,"R$10,000",R$151,"R$10,900"
no,74,3,2,1,7,acept,not furnished,"R$1,600",R$21,"R$2,521"
no,30,1,1,0,5,not acept,furnished,R$500,R$7,R$897
yes,64,3,2,1,7,acept,not furnished,"R$1,400",R$18,"R$2,005"
yes,105,3,2,2,1,acept,furnished,"R$7,800",R$99,"R$9,931"
yes,50,1,2,1,10,acept,furnished,"R$5,900",R$75,"R$7,284"
yes,60,2,1,0,3,not acept,not furnished,"R$1,300",R$17,"R$1,717"
yes,50,2,1,1,6,acept,furnished,"R$2,000",R$26,"R$2,660"
yes,90,2,2,0,-,acept,not furnished,"R$1,700",R$26,"R$1,764"
yes,130,3,2,1,8,not acept,furnished,"R$7,500",R$96,"R$9,213"
yes,20,1,1,0,1,not acept,furnished,"R$1,950",R$25,"R$1,975"
yes,400,4,3,2,-,acept,not furnished,"R$5,650",R$85,"R$6,073"
yes,220,3,3,5,-,acept,not furnished,"R$7,500",R$113,"R$7,613"
yes,750,7,6,5,-,acept,furnished,"R$5,800",R$88,"R$6,447"
yes,20,1,1,0,-,acept,furnished,"R$1,800",R$23,"R$2,555"
no,140,3,2,2,15,not acept,not furnished,"R$2,100",R$27,"R$3,408"
yes,22,1,1,0,-,not acept,not furnished,"R$1,080",R$14,"R$1,358"
yes,345,2,3,2,4,not acept,not furnished,"R$12,000",R$153,"R$16,590"
no,46,2,1,1,3,not acept,not furnished,"R$1,100",R$5,"R$1,408"
yes,35,1,1,1,2,not acept,furnished,"R$3,250",R$42,"R$3,872"
no,72,2,2,1,2,acept,not furnished,"R$1,200",R$16,"R$1,813"
yes,60,1,1,2,2,not acept,not furnished,"R$1,900",R$25,"R$5,611"
yes,180,3,2,4,-,not acept,furnished,"R$11,000",R$166,"R$11,830"
yes,83,3,2,1,9,not acept,furnished,"R$3,300",R$42,"R$4,227"
yes,50,1,1,0,1,acept,not furnished,"R$1,550",R$20,"R$2,117"
yes,38,1,1,1,14,not acept,furnished,"R$3,020",R$39,"R$4,958"
yes,140,3,3,2,2,acept,not furnished,"R$2,800",R$36,"R$4,428"
no,62,2,1,1,3,acept,not furnished,R$980,R$13,"R$1,526"
yes,70,1,1,0,2,acept,furnished,"R$4,000",R$51,"R$5,835"
no,55,1,1,0,14,acept,not furnished,"R$1,100",R$14,"R$1,774"
no,60,2,1,1,1,not acept,not furnished,R$815,R$6,"R$1,271"
yes,85,2,2,1,6,acept,not furnished,"R$1,738",R$23,"R$3,272"
yes,134,3,3,3,11,not acept,not furnished,"R$8,000",R$102,"R$10,140"
yes,200,3,2,2,19,acept,not furnished,"R$10,000",R$127,"R$13,820"
yes,170,3,2,2,-,acept,furnished,"R$3,900",R$59,"R$4,226"
yes,46,1,1,2,16,acept,furnished,"R$6,220",R$79,"R$8,764"
yes,20,1,1,0,4,acept,furnished,"R$1,800",R$23,"R$2,555"
yes,58,2,2,1,5,not acept,furnished,"R$4,500",R$58,"R$5,702"
yes,96,3,2,3,4,acept,not furnished,"R$2,350",R$30,"R$3,717"
yes,190,3,3,3,6,acept,not furnished,"R$13,000",R$165,"R$16,250"
yes,87,3,2,4,14,acept,not furnished,"R$2,000",R$26,"R$2,893"
yes,42,1,1,0,5,acept,not furnished,"R$2,400",R$31,"R$2,875"
yes,145,3,3,1,10,acept,furnished,"R$11,000",R$140,"R$12,900"
yes,250,4,6,4,12,not acept,not furnished,"R$14,500",R$184,"R$18,560"
yes,90,2,1,1,1,acept,not furnished,"R$3,000",R$39,"R$4,089"
yes,250,6,2,2,-,acept,not furnished,"R$2,472",R$38,"R$2,536"
yes,500,3,4,5,-,acept,furnished,"R$7,620",R$115,"R$8,829"
yes,80,2,2,2,6,acept,furnished,"R$8,800",R$112,"R$10,610"
no,120,3,2,3,-,acept,not furnished,"R$2,500",R$38,"R$2,718"
no,265,3,3,2,-,acept,not furnished,"R$2,400",R$37,"R$2,577"
no,50,2,1,1,4,acept,not furnished,"R$1,080",R$14,"R$1,424"
no,126,3,3,2,1,acept,not furnished,"R$3,800",R$49,"R$4,796"
no,55,2,1,1,1,acept,not furnished,R$720,R$10,"R$1,120"
yes,29,1,1,1,20,acept,furnished,"R$2,700",R$35,"R$3,519"
yes,59,2,1,1,24,acept,not furnished,"R$2,450",R$32,"R$3,134"
yes,200,2,4,4,4,acept,not furnished,"R$7,800",R$99,"R$11,770"
yes,74,3,2,1,7,acept,not furnished,"R$2,196",R$28,"R$2,901"
yes,290,4,5,2,6,acept,not furnished,"R$10,000",R$127,"R$15,300"
yes,172,3,4,3,1,acept,not furnished,"R$8,000",R$102,"R$10,520"
yes,25,1,1,0,5,not acept,furnished,"R$2,600",R$33,"R$2,970"
yes,50,1,1,1,-,acept,not furnished,"R$1,100",R$17,"R$1,117"
yes,40,1,1,0,3,acept,not furnished,"R$1,100",R$14,"R$1,414"
yes,80,2,2,2,-,acept,not furnished,"R$2,465",R$38,"R$2,503"
yes,280,6,6,3,-,acept,not furnished,"R$5,000",R$76,"R$6,194"
yes,60,1,1,1,12,acept,furnished,"R$4,723",R$18,"R$5,591"
yes,115,2,3,2,8,acept,not furnished,"R$12,000",R$153,"R$14,320"
yes,540,3,3,4,9,acept,not furnished,"R$15,000",R$191,"R$24,890"
yes,76,2,1,1,12,not acept,furnished,"R$4,250",R$54,"R$5,427"
no,150,4,5,2,1,acept,not furnished,"R$2,980",R$38,"R$4,478"
yes,130,3,2,1,8,acept,not furnished,"R$5,500",R$70,"R$8,179"
no,64,2,1,1,-,acept,not furnished,R$730,R$10,"R$1,199"
yes,55,2,2,1,2,acept,not furnished,"R$1,300",R$17,"R$1,787"
yes,50,1,1,0,1,acept,not furnished,"R$1,300",R$17,"R$1,917"
yes,120,2,3,2,20,acept,not furnished,"R$7,000",R$89,"R$9,269"
no,236,3,4,4,10,acept,not furnished,"R$11,000",R$140,"R$13,180"
no,30,1,1,0,4,acept,not furnished,R$550,R$7,R$903
no,270,3,3,0,-,acept,furnished,"R$8,000",R$121,"R$8,621"
no,48,1,1,0,9,acept,not furnished,R$670,R$9,"R$1,050"
no,198,6,3,4,-,acept,not furnished,"R$2,000",R$31,"R$2,176"
yes,50,1,1,0,-,acept,not furnished,"R$1,080",R$17,"R$1,156"
yes,185,3,3,3,20,acept,not furnished,"R$5,600",R$71,"R$9,248"
yes,440,4,4,4,-,acept,not furnished,"R$12,000",R$181,"R$14,680"
no,119,3,2,2,7,acept,not furnished,"R$1,200",R$16,"R$3,078"
yes,57,2,2,2,16,acept,not furnished,"R$1,690",R$22,"R$2,233"
yes,65,2,1,1,1,acept,not furnished,"R$1,400",R$18,"R$1,602"
yes,35,2,1,1,-,acept,not furnished,"R$2,100",R$32,"R$2,257"
no,51,1,2,1,16,not acept,not furnished,"R$2,100",R$27,"R$2,980"
no,70,2,3,1,7,acept,not furnished,"R$2,004",R$26,"R$3,226"
yes,90,2,1,1,-,acept,not furnished,"R$1,500",R$23,"R$1,523"
yes,320,3,4,3,8,acept,not furnished,"R$6,800",R$87,"R$10,290"
yes,250,7,5,2,-,acept,not furnished,"R$12,750",R$192,"R$13,990"
yes,70,2,1,1,6,acept,not furnished,"R$3,800",R$49,"R$4,554"
yes,169,4,6,3,7,acept,furnished,"R$10,000",R$127,"R$13,420"
